 execution time: 4.07ms; select * from `admins` where `name` = "admin" limit 1

 execution time: 1.44ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.32ms; select * from `role_privilege` where `role_id` = "3"

 execution time: 0.32ms; select * from `privileges` where `id` in ("1", "2", "3", "4", "5", "6", "9", "10", "11", "12", "13", "14") and `type` = "2"

 execution time: 0.25ms; select * from `privilege_group`

 execution time: 1.64ms; select * from `admins` where `id` = "2" limit 1

 execution time: 1.86ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.55ms; select exists(select * from `consume` where `month` = "2019-10") as `exists`

 execution time: 0.23ms; select exists(select * from `consume_detail` where `date` like "%2019-10%") as `exists`

 execution time: 0.51ms; select `category_id`, `month`, `id`, `real_amount` from `consume` where `month` = "2019-10"

 execution time: 0.65ms; select `id`, SUM(real_amount) as real_amount, `month` from `consume` where `month` like "%2019%" group by `month`

 execution time: 0.26ms; select `name`, `id` from `consume_category`

 execution time: 0.46ms; select `id`, SUM(amount) as amount, `date` from `consume_detail` where `date` like "%2019-10%" group by `date`

 execution time: 1.51ms; select * from `admins` where `id` = "2" limit 1

 execution time: 1.6ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.36ms; select `name`, `id` from `consume_category`

 execution time: 1.61ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.45ms; select count(*) as aggregate from `consume`

 execution time: 0.35ms; select * from `consume` limit 10 offset 0

 execution time: 0.27ms; select `name`, `id` from `consume_category`

 execution time: 1.45ms; select * from `admins` where `id` = "2" limit 1

 execution time: 1.43ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.35ms; select `name`, `id` from `consume_category`

 execution time: 2.41ms; select * from `admins` where `id` = "2" limit 1

 execution time: 1.56ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.52ms; select count(*) as aggregate from `consume_detail`

 execution time: 0.38ms; select * from `consume_detail` limit 10 offset 0

 execution time: 0.58ms; select `month`, `id`, `category_id` from `consume`

 execution time: 0.31ms; select `id`, `name` from `consume_category`

 execution time: 1.59ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.55ms; select count(*) as aggregate from `consume` where `month` = "2019-10"

 execution time: 0.48ms; select * from `consume` where `month` = "2019-10" limit 20 offset 0

 execution time: 0.3ms; select `name`, `id` from `consume_category`

 execution time: 1.85ms; select * from `admins` where `id` = "2" limit 1

 execution time: 1.54ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.25ms; select count(*) as aggregate from `consume_detail`

 execution time: 0.28ms; select * from `consume_detail` limit 10 offset 0

 execution time: 0.47ms; select `month`, `id`, `category_id` from `consume`

 execution time: 0.29ms; select `id`, `name` from `consume_category`

 execution time: 2.6ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.55ms; select count(*) as aggregate from `consume_detail` where `date` = "2019-10-25"

 execution time: 0.4ms; select `month`, `id`, `category_id` from `consume`

 execution time: 0.32ms; select `id`, `name` from `consume_category`

 execution time: 1.51ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.56ms; select count(*) as aggregate from `consume_detail` where `date` = "2019-10-24"

 execution time: 0.34ms; select `month`, `id`, `category_id` from `consume`

 execution time: 0.31ms; select `id`, `name` from `consume_category`

 execution time: 2ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.36ms; select count(*) as aggregate from `consume_detail` where `date` = "2019-10-23"

 execution time: 0.31ms; select * from `consume_detail` where `date` = "2019-10-23" limit 10 offset 0

 execution time: 0.47ms; select `month`, `id`, `category_id` from `consume`

 execution time: 0.3ms; select `id`, `name` from `consume_category`

 execution time: 1.59ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.36ms; select count(*) as aggregate from `consume` where `month` = "2019-10"

 execution time: 0.32ms; select * from `consume` where `month` = "2019-10" limit 20 offset 0

 execution time: 0.54ms; select `name`, `id` from `consume_category`

 execution time: 1.53ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.34ms; select count(*) as aggregate from `consume` where `month` = "2019-10"

 execution time: 0.34ms; select * from `consume` where `month` = "2019-10" limit 20 offset 0

 execution time: 0.33ms; select `name`, `id` from `consume_category`

 execution time: 1.52ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.52ms; select * from `consume` where `consume`.`id` = "209" limit 1

 execution time: 0.47ms; update `consume` set `amount` = "696038" where `id` = "209"

 execution time: 0.52ms; insert into `consume_detail` (`create_at`, `create_uid`, `name`, `date`, `amount`, `voucher`, `consume_id`, `remark`, `label`) values ("1572247198", "2", "易通行", "2019-10-24", "400", "", "209", "良乡南关——常营", "花呗")

 execution time: 1.62ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.55ms; select count(*) as aggregate from `consume_detail` where `date` = "2019-10-23"

 execution time: 0.5ms; select * from `consume_detail` where `date` = "2019-10-23" limit 10 offset 0

 execution time: 0.57ms; select `month`, `id`, `category_id` from `consume`

 execution time: 0.34ms; select `id`, `name` from `consume_category`

 execution time: 1.54ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.54ms; select count(*) as aggregate from `consume_detail` where `date` = "2019-10-24"

 execution time: 0.52ms; select * from `consume_detail` where `date` = "2019-10-24" limit 10 offset 0

